File,Activity,Maximum_Absolute_Velocity,Mean_Absolute_Velocity,Mean_Velocity_Bandwidth,Maximum_Velocity_Bandwidth,Active_Motion_Duration,Active_Motion_Fraction,Velocity_Imbalance,High_Velocity_Fraction,Main_Burst_Duration,Energy_Weighted_Velocity,Variance_Doppler_Distr,Skewness_Doppler_Distr,Kurtosis_Doppler_Distr,Variance_Frequency_Doppler_Distr,Mean_Difference_From_Zero_Freq,Total_Signal_Over_Max,Standard_Deviation_Range,Mean_Cadence
1P01A01R01.dat,1,2.48922413793103,1.46000203638338,1.16375067879446,2.39224137931035,7.77551020408163,0.776758409785933,-0.391991319618295,0.329658131326167,2.01020408163265,-0.352999292130851,3.64616103337071e-05,1.76666339906151,6.04274369595521,37.0565121553879,33.7754501685736,0.0164960065954674,0.00816834770415788,7.64292148034915
1P01A01R02.dat,1,2.10129310344828,1.2290582303188,0.96410079158534,1.93965517241379,4.86734693877551,0.486238532110092,-0.402094814572529,0.24525639271625,2.03061224489796,-0.299060851570625,3.54511712982682e-05,1.32097851466632,3.80100095176386,34.685060963142,30.6475418938221,0.0169545439109087,0.0080620380187209,7.650518656167
1P01A01R03.dat,1,1.97198275862069,1.20893135546588,1.09935287509171,1.77801724137931,3.83673469387755,0.383282364933741,-0.241931675783418,0.190277922184125,2.41836734693878,-0.161026017129492,3.47004391699871e-05,0.947710195898937,2.4641085765182,33.046741456142,28.0264084566425,0.0193523727935717,0.00876307137752497,7.55660666220806
1P02A01R01.dat,1,2.8125,1.66482321889716,1.38486442351511,2.48922413793103,6.94897959183673,0.694189602446483,-0.21144101766747,0.401893864530692,2.20408163265306,-0.205514834770893,2.15729202431663e-05,0.588278824253135,1.89367221273705,41.2753673371324,35.7177232745692,0.0198659050222022,0.0087041552376689,7.66223767021993
1P02A01R02.dat,1,2.97413793103448,1.67174088992622,1.50217399488029,2.65086206896552,7.01020408163265,0.700305810397553,-0.222592342341654,0.3933812788316,2.88775510204082,-0.221633090880283,1.84591520838146e-05,0.407746027457548,1.65092397018633,41.9588902370929,35.5485554996818,0.021320941846911,0.00867015984475338,7.67775551868562
1P02A01R03.dat,1,1.93965517241379,1.23283340585228,1.27117779832481,2.03663793103448,3.23469387755102,0.323139653414883,-0.170309718398455,0.219396283951811,1.86734693877551,-0.111549667776739,2.96291285759143e-05,0.814968901260854,2.26995802835547,33.9404321822685,27.3190712073233,0.0210636291232629,0.0104318019092919,7.63695418076564
1P03A01R01.dat,1,2.65086206896552,1.57477511244378,1.29282233883058,2.45689655172414,7.04081632653061,0.703363914373089,-0.268330656430726,0.466136262592467,4.86734693877551,-0.292699767293676,2.29521278722116e-05,0.919549718726647,3.23393049777915,41.6579903054651,37.0546717012823,0.0172379199013456,0.00986398833459295,7.64705810938787
1P03A01R02.dat,1,2.55387931034483,1.62084479404267,1.37065191869046,2.42456896551724,7.86734693877551,0.785932721712538,-0.229369810033904,0.442148609586981,5.38775510204082,-0.26427464176747,2.16419486928682e-05,0.79710756984386,2.70817918798822,42.0480487695175,37.1600719892268,0.019627619381476,0.00997761855823371,7.60566473038002
1P03A01R03.dat,1,1.64870689655172,0.88881845841785,0.884761663286004,1.42241379310345,2.60204081632653,0.259938837920489,-0.248504387526733,0.168410095570922,2.23469387755102,-0.195312197737464,3.78989420278171e-05,1.15784703538929,3.1168806046207,31.1477035364414,25.1728135619837,0.0173854465442673,0.0118384706993956,7.6949606903458
1P04A01R01.dat,1,2.16594827586207,1.1854998759613,0.950853541304888,1.81034482758621,8.51020408163265,0.850152905198777,-0.190355894920335,0.192091898081103,4.40816326530612,-0.153660759965819,3.38244976307819e-05,0.868306732778156,2.13510873967854,33.2948480793651,28.182795119688,0.0152889360163639,0.00956555102934737,7.65547650362888
1P04A01R02.dat,1,2.06896551724138,1.0815351252945,0.806583315485115,1.68103448275862,4.92857142857143,0.492354740061162,0.0630747554583019,0.168003498203121,2.13265306122449,-0.0173086535695881,3.66128262928101e-05,1.0345936038781,2.63562586991902,33.2887469529686,27.9196751831557,0.0147371210161589,0.0106690373480175,7.65229175442726
1P04A01R03.dat,1,1.64870689655172,0.767615235749473,0.706341264954257,1.39008620689655,4,0.399592252803262,-0.117898905383647,0.0630673674923818,1.78571428571429,-0.0458531203000566,5.60152607139751e-05,1.66370453924373,4.77249399463491,26.283177910506,19.7564902360861,0.0137902321151826,0.0108834628867305,7.59156524500556
1P05A01R01.dat,1,1.74568965517241,1.1737400530504,0.78448275862069,1.58405172413793,5.96938775510204,0.596330275229358,-0.383665277786445,0.177091734883706,1.95918367346939,-0.349017562687295,6.05537456089667e-05,2.53832558020112,9.69695325851166,32.6786901466548,30.6429529581316,0.0137385068372195,0.0081524230754912,7.64885123321639
1P05A01R02.dat,1,2.29525862068966,1.2890686882822,1.00114029413318,2.10129310344828,6.66326530612245,0.665647298674822,-0.259067823215865,0.200370905374209,2.79591836734694,-0.206907572421031,4.02511047349854e-05,1.52152590137909,4.7285689169304,34.7543624546151,30.5205007170538,0.0159588282633128,0.00815776463266622,7.64727369085992
1P05A01R03.dat,1,1.8426724137931,1.04221704671858,0.906041434927698,1.61637931034483,3.79591836734694,0.379204892966361,-0.524901566542823,0.121209098503915,2.60204081632653,-0.299823888350323,5.72822900281072e-05,2.03930855297692,6.57062432927701,29.1135902789261,25.8694752750146,0.015734355373495,0.00961924780298494,7.66558930663174
1P06A01R01.dat,1,2.16594827586207,1.18088511437351,0.974180607715944,2.06896551724138,5.1530612244898,0.514780835881753,-0.371153097440318,0.161171219515717,1.56122448979592,-0.28939923591524,4.28510195254704e-05,1.53285775334424,4.63171343588561,31.8041715940547,28.0758289568762,0.0150590045978409,0.00718643852936019,7.60513781305284
1P06A01R02.dat,1,2.13362068965517,1.2203372027885,1.04017218038093,2.39224137931035,5.6530612244898,0.564729867482161,-0.36609913087808,0.186519430549245,2.18367346938776,-0.237526802946879,3.81651908991288e-05,1.35435195918422,3.67002430742754,33.1323193977011,28.2720751940956,0.0160921389113496,0.00835613000921309,7.57219862489149
1P06A01R03.dat,1,1.9073275862069,1.13432005023978,1.21192766613382,2.61853448275862,4.62244897959184,0.46177370030581,-0.273100638259548,0.172667945850807,3.08163265306122,-0.155258982450521,3.6366940967523e-05,1.24730464239418,3.52215112565419,32.2197334447146,26.1869023998754,0.0185198732259033,0.00879027365279882,7.56971479703754
1P07A01R01.dat,1,2.03663793103448,1.20209426536732,0.983381077318484,1.77801724137931,6.57142857142857,0.656472986748216,-0.285306239500725,0.148253797801769,1.74489795918367,-0.252300504082907,4.84929550452478e-05,1.88266509323857,6.26026336621338,32.1692161887002,28.5663416901151,0.0150801033531792,0.00765898811825023,7.62996750314539
1P07A01R02.dat,1,1.875,1.14254618738883,0.956272591657583,1.74568965517241,6.13265306122449,0.612640163098879,-0.301600681089982,0.131669049689078,4.02040816326531,-0.240514557164783,4.79246099707035e-05,1.76528111925514,5.7064451751674,31.3301856309475,27.5983462823992,0.0150701051519356,0.00765216615020079,7.60809390460247
1P07A01R03.dat,1,1.58405172413793,0.918266525120229,0.914381459122071,1.61637931034483,3.43877551020408,0.343527013251784,-0.206078898985726,0.0827268396415543,2.66326530612245,-0.0995022365198135,4.66514599483924e-05,1.34303288919179,3.65675580312755,28.4695591672913,23.2617519768802,0.0164983426100427,0.0081242979549081,7.5537432875178
1P08A01R01.dat,1,3.16810344827586,2.03922693685625,1.661092140618,2.97413793103448,4.71428571428571,0.470948012232416,-0.0826538082582856,0.581626751607089,3.01020408163265,-0.162482939509811,1.10910057126798e-05,0.232242519144588,2.0130976113208,51.225371186376,44.4126073050806,0.022658684168657,0.0108795410264815,7.69877602300659
1P08A01R02.dat,1,2.90948275862069,1.84882238288226,1.58588705522737,2.55387931034483,5.12244897959184,0.511722731906218,-0.163842034243637,0.505720220615171,2.79591836734694,-0.26889356915557,1.45236295717701e-05,0.478263677453753,2.28157568252222,47.0115055993183,40.8234822994722,0.0216877029080519,0.0105458413086529,7.6595991908383
1P08A01R03.dat,1,2.61853448275862,1.56736804295221,1.55952245916515,3.20043103448276,3.48979591836735,0.348623853211009,-0.0283963543365106,0.384231912220199,1.13265306122449,-0.0442426043795628,1.78031978208887e-05,0.308627634916415,1.43263302469783,42.3687481781453,35.1558639908072,0.0219881765942382,0.00909762099920556,7.64360346159054
1P08A01R1.dat,1,2.7801724137931,1.63433908045977,1.04401243255923,2.03663793103448,4.5,0.44954128440367,-0.337269975749597,0.468282768046933,1.3469387755102,-0.378247925580687,3.32316135157666e-05,1.746058822641,5.93205538358202,41.5519174123535,38.212269935238,0.0155605157374163,0.00619475565779349,7.75788077383526
1P08A01R2.dat,1,2.8125,1.69351741208604,1.21026800955958,2.45689655172414,5.1530612244898,0.514780835881753,-0.35281310560437,0.493577998411518,1.94897959183673,-0.425982999908514,3.48546873586854e-05,1.80305439204229,5.87466194069896,42.0611245900103,39.4696044404537,0.0160219732011965,0.00698906440237335,7.70663447045103
1P08A01R3.dat,1,2.7801724137931,1.6584263015551,1.08677738336714,2.42456896551724,6.24489795918367,0.623853211009174,-0.359475114263127,0.544310273048381,2.14285714285714,-0.462132571943685,3.22828643611231e-05,1.6503813558951,5.21178380483569,42.5390501613353,40.2025909158051,0.0160695710859493,0.00704127401940738,7.73131855585268
