File,Activity,Maximum_Absolute_Velocity,Mean_Absolute_Velocity,Mean_Velocity_Bandwidth,Maximum_Velocity_Bandwidth,Active_Motion_Duration,Active_Motion_Fraction,Velocity_Imbalance,High_Velocity_Fraction,Main_Burst_Duration,Energy_Weighted_Velocity,Imbalance_Doppler_Distr,Variance_Doppler_Distr,Skewness_Doppler_Distr,Kurtosis_Doppler_Distr,Variance_Frequency_Doppler_Distr,Mean_Difference_From_Zero_Freq,Total_Signal_Over_Max,Standard_Deviation_Range,Mean_Cadence
1P01A01R01.dat,1,1.93965517241379,1.14975054303557,0.639169834374152,1.61637931034483,7.77551020408163,0.776758409785933,-0.391991319621915,0.32965813129369,2.01020408163265,-0.352999292101323,0.356601200323856,3.64616103266242e-05,1.76666339873493,6.04274369490193,37.0565121535762,33.7754501651798,0.0164960065966412,0.00816834770415788,7.64292148035886
1P01A01R02.dat,1,1.68103448275862,1.02106376057254,0.560887009325526,1.16379310344828,4.86734693877551,0.486238532110092,-0.402094814587808,0.245256392691976,2.03061224489796,-0.299060851549093,0.358835950792849,3.54511712954611e-05,1.32097851440604,3.80100095079775,34.6850609613775,30.6475418907524,0.0169545439116568,0.0080620380187209,7.65051865617273
1P01A01R03.dat,1,1.64870689655172,0.993729365370506,0.654891553558327,1.19612068965517,3.83673469387755,0.383282364933741,-0.241931675841185,0.190277922147719,2.41836734693878,-0.16102601711188,0.209137716119978,3.47004391667671e-05,0.947710195560387,2.46410857560811,33.0467414531959,28.0264084520637,0.0193523727951845,0.00876307137752497,7.55660666222995
1P02A01R01.dat,1,2.13362068965517,1.32744854169831,0.783694744037673,1.61637931034483,6.94897959183673,0.694189602446483,-0.211441017689099,0.401893864477845,2.20408163265306,-0.205514834750722,0.192247399614507,2.15729202405338e-05,0.588278823912426,1.89367221219287,41.2753673344259,35.7177232701801,0.0198659050231315,0.0087041552376689,7.6622376702191
1P02A01R02.dat,1,2.35991379310345,1.34481817497365,0.894420079807258,1.77801724137931,7.01020408163265,0.700305810397553,-0.222592342413503,0.393381278735169,2.88775510204082,-0.221633090844076,0.196873047197566,1.84591520862837e-05,0.407746027504509,1.65092397024403,41.9588902323524,35.5485554922285,0.0213209418452122,0.00867015984475338,7.6777555186872
1P02A01R03.dat,1,1.77801724137931,0.980739421298814,0.747817632981616,1.19612068965517,3.23469387755102,0.323139653414883,-0.170309718492352,0.219396283876913,1.86734693877551,-0.111549667758374,0.146651975187592,2.96291285848693e-05,0.814968901738457,2.26995802951626,33.9404321772021,27.319071199974,0.0210636291242183,0.0104318019092919,7.63695418078673
1P03A01R01.dat,1,2.00431034482759,1.27637743628186,0.704038605697152,1.61637931034483,7.04081632653061,0.703363914373089,-0.268330656449455,0.466136262528778,4.86734693877551,-0.292699767261547,0.244343021119422,2.29521278691977e-05,0.91954971823037,3.23393049638891,41.6579903027763,37.0546716966381,0.0172379199021515,0.00986398833459295,7.64705810940004
1P03A01R02.dat,1,2.06896551724138,1.33352341339058,0.807120454850396,1.68103448275862,7.86734693877551,0.785932721712538,-0.229369810041183,0.442148609540149,5.38775510204082,-0.264274641743874,0.208580124826863,2.16419486886381e-05,0.797107569448029,2.70817918735995,42.0480487671663,37.1600719852384,0.0196276193835538,0.00997761855823371,7.60566473039036
1P03A01R03.dat,1,1.45474137931034,0.70157200811359,0.508367139959432,1.06681034482759,2.60204081632653,0.259938837920489,-0.248504387556822,0.168410095531718,2.23469387755102,-0.195312197703647,0.213054659582986,3.78989420286448e-05,1.15784703511365,3.11688060344481,31.1477035331213,25.1728135570357,0.0173854465465491,0.0118384706993956,7.6949606903544
1P04A01R01.dat,1,1.81034482758621,0.957656288762093,0.531970974944183,1.29310344827586,8.51020408163265,0.850152905198777,-0.190355894936563,0.19209189805011,4.40816326530612,-0.153660759948679,0.170631959043737,3.38244976258862e-05,0.868306732410845,2.13510873891238,33.2948480767826,28.1827951156336,0.0152889360176174,0.00956555102934737,7.65547650363575
1P04A01R02.dat,1,1.71336206896552,0.894463482544442,0.455163043478261,1.13146551724138,4.92857142857143,0.492354740061162,0.0630747554309441,0.168003498188358,2.13265306122449,-0.0173086535716108,-0.0585727423530637,3.66128262866536e-05,1.03459360357273,2.63562586930391,33.2887469511713,27.9196751804197,0.0147371210173139,0.0106690373480175,7.65229175443685
1P04A01R03.dat,1,1.48706896551724,0.61331698627727,0.406610111717101,0.969827586206896,4,0.399592252803262,-0.117898905486258,0.0630673674664879,1.78571428571429,-0.0458531203044645,0.0904429801875727,5.60152607252683e-05,1.66370453905741,4.77249399259434,26.283177905963,19.7564902299939,0.01379023211621,0.0108834628867305,7.59156524510007
1P05A01R01.dat,1,1.45474137931034,0.976983863837313,0.432029177718833,1.16379310344828,5.96938775510204,0.596330275229358,-0.38366527777501,0.177091734873254,1.95918367346939,-0.349017562668228,0.346574398434892,6.05537455991759e-05,2.53832558003683,9.69695325791663,32.6786901455901,30.6429529559634,0.0137385068380075,0.0081524230754912,7.64885123324282
1P05A01R02.dat,1,1.71336206896552,1.06032502508317,0.557564226118182,1.32543103448276,6.66326530612245,0.665647298674822,-0.259067823201083,0.200370905355868,2.79591836734694,-0.206907572403751,0.232148650815834,4.02511047279424e-05,1.52152590108398,4.72856891612889,34.7543624530016,30.520500714328,0.0159588282641989,0.00815776463266622,7.64727369087343
1P05A01R03.dat,1,1.35775862068966,0.847034899888765,0.511462388765295,1.09913793103448,3.79591836734694,0.379204892966361,-0.524901566521348,0.121209098479682,2.60204081632653,-0.299823888300954,0.457353888392223,5.72822900130049e-05,2.03930855220156,6.57062432581491,29.1135902761151,25.8694752698269,0.0157343553762463,0.00961924780298494,7.66558930664941
1P06A01R01.dat,1,1.9073275862069,0.954976101058382,0.536701946056675,1.39008620689655,5.1530612244898,0.514780835881753,-0.371153097472815,0.161171219493081,1.56122448979592,-0.289399235885227,0.330842776902194,4.2851019517751e-05,1.53285775284987,4.63171343408813,31.8041715919057,28.0758289530852,0.015059004598531,0.00718643852936019,7.60513781304779
1P06A01R02.dat,1,1.68103448275862,0.979689250591311,0.584347379559318,1.29310344827586,5.6530612244898,0.564729867482161,-0.366099130883567,0.186519430528831,2.18367346938776,-0.237526802927522,0.32842123582064,3.81651908952129e-05,1.3543519589175,3.67002430664606,33.1323193958122,28.2720751910244,0.0160921389127011,0.00835613000921309,7.5721986249224
1P06A01R03.dat,1,1.64870689655172,0.887509990865495,0.699253539620918,1.61637931034483,4.62244897959184,0.46177370030581,-0.273100638271172,0.172667945806836,3.08163265306122,-0.155258982421351,0.23108426378949,3.63669409681705e-05,1.24730464203134,3.52215112413781,32.2197334409263,26.1869023942535,0.0185198732288566,0.00879027365279882,7.56971479708319
1P07A01R01.dat,1,1.55172413793103,0.96023974619833,0.524068322981366,1.19612068965517,6.57142857142857,0.656472986748216,-0.285306239508285,0.148253797787711,1.74489795918367,-0.252300504063602,0.25516599107,4.84929550357404e-05,1.8826650929245,6.26026336521162,32.1692161870904,28.566341687357,0.0150801033546144,0.00765898811825023,7.62996750316078
1P07A01R02.dat,1,1.45474137931034,0.911815436915486,0.518774384646279,1.09913793103448,6.13265306122449,0.612640163098879,-0.301600681083293,0.131669049678549,4.02040816326531,-0.240514557148331,0.270274885643758,4.79246099627139e-05,1.76528111896472,5.70644517423702,31.3301856295501,27.5983462800019,0.0150701051531699,0.00765216615020079,7.60809390458863
